"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-2601.0353,939.9963,-2.7671,0.0058,-4445.5022,-756.5684
"age",259.5412,10.3155,25.1603,0,239.3,279.7823
"sexmale",-313.9625,288.0167,-1.0901,0.2759,-879.1108,251.1859
"bmi",34.0327,27.6686,1.23,0.219,-20.2588,88.3243
"smokeryes",-18670.1983,1764.698,-10.5798,0,-22132.9003,-15207.4962
"children",541.4489,119.0311,4.5488,0,307.8854,775.0124
"regionnorthwest",-451.3213,409.0101,-1.1034,0.2701,-1253.8837,351.2411
"regionsoutheast",-1313.5219,413.5198,-3.1764,0.0015,-2124.9331,-502.1107
"regionsouthwest",-1299.6767,408.5473,-3.1812,0.0015,-2101.3308,-498.0225
"bmi:smokeryes",1383.9643,56.2968,24.5834,0,1273.4983,1494.4302
